cell,value
_154Sm_CD3,0.25
_174Yb_CD4,0.3
_168Er_CD8,0.25
_142Nd_CD19,0.1
_176Yb_CD56,0.2
_143Nd_CD127,0.3
_169Tm_CD25,0.3
_155Gd_CD45RA,0.35
_165Ho_CD45RO,0.3
_141Pr_CD196_CCR6,0.2
_163Dy_CD183,0.2
_164Dy_CD161,0.3
_149Sm_CD194,0.2
_172Yb_CD294,0.3
_145Nd_CD117,0.35
_171Yb_CD20,0.2
_158Gd_CD27,0.2
_166Er_CD24,0.4
_144Nd_CD38,0.28
_151Eu_CD123,0.65
_173Yb_HLA_DR,0.1
_159Tb_FcER1,0.1
_150Nd_CD63,0.5
_209Bi_CD11b,0.4
_147Sm_CD11c,0.4
_175Lu_CD14,0.2
_148Nd_CD16,0.45
_162Dy_CD66b,0.25
_152Sm_TCR_gd,0.3
_161Dy_CD69,0.2
_167Er_CD197,0.35
_170Er_CD62p,0.2
_153Eu_CD185,0.2
_156Gd_CD203,0.3
_160Gd_CD28,0.2
_146Nd_IgD,0.2